label,predict
0,0.49990794789344395
1,0.5000474390202015
1,0.500005886741367
1,0.5001573015350044
1,0.5003342535212444
1,0.5000814245086923
1,0.5001937634812958
1,0.5002915436338784
0,0.4999735758252722
0,0.49996257762911395
0,0.4998503499740969
0,0.5000460061650194
1,0.5004220612691636
1,0.5000719858064488
1,0.5000196097983034
0,0.4997777592749695
0,0.5000374689445911
0,0.5000346055637496
1,0.5002323010931882
1,0.5002507206786425
1,0.4999978543451861
1,0.5001913427143296
1,0.500139239914064
0,0.49989871371536576
1,0.500005283046141
0,0.49992178788393565
1,0.5001017831539677
0,0.4998565615996058
0,0.4998932269930688
1,0.5001388811773946
1,0.5002463921822609
1,0.5001000386965528
1,0.5000857470205593
1,0.5001325486888966
1,0.5000132368265588
0,0.4999126307790975
0,0.4997125414008164
1,0.5004307484237923
1,0.5002071338848345
1,0.5001452098433823
0,0.500148441216963
0,0.49985402754421093
1,0.500083670312322
0,0.49994653267469225
0,0.49993615712720285
0,0.4998586026047072
1,0.5001169281499508
1,0.5002142650455356
1,0.5000892997121643
0,0.4997961834535918
1,0.5002531396632813
0,0.49981839660606453
1,0.5002890394892553
1,0.5002905775270364
0,0.5001516473589698
0,0.4999259294801076
0,0.4999578826890182
0,0.49997010993885643
0,0.49997832535047704
0,0.4999124226715718
1,0.5002334877520466
0,0.5001772495610138
1,0.500070928253222
0,0.5000201507065579
0,0.4999082270255613
1,0.5001523710671286
1,0.4999991929729917
0,0.4999773310293131
1,0.5000774609202745
1,0.5000515510898169
1,0.4999883072964837
0,0.499843973653859
1,0.500080936519566
1,0.5001448694439795
1,0.5001588168325047
1,0.500389910031894
1,0.5002315593879169
1,0.5000584516921914
0,0.5000616381749928
0,0.4998686259258827
1,0.500331765686913
1,0.500152507472593
1,0.499992351984747
1,0.5002466723324712
1,0.5000549739620046
0,0.5000673243401954
0,0.49998251644395475
1,0.5001212901586959
0,0.4999160832252373
0,0.4999726089767006
1,0.5000069480278143
0,0.49977178358804336
0,0.4998326792313004
1,0.500260540308204
1,0.5001229794744458
0,0.5000204813411578
1,0.5001176889203477
1,0.500376548003139
1,0.5001112670103053
1,0.5000554737608146
1,0.5001485982720385
1,0.500043439470016
1,0.500107842478593
0,0.49993201867166037
0,0.5001995573464286
0,0.4998576993700166
0,0.49996882057464576
1,0.500026571690461
0,0.5000050617823095
1,0.5001646936984997
0,0.5000804658738703
1,0.5001676872432563
0,0.4998547952995776
1,0.49994888407033067
0,0.4999342910831232
0,0.5000658644011111
1,0.5001145500359802
0,0.499969310018092
0,0.49993489388151896
0,0.4999120647097248
1,0.4999924182818121
0,0.49994154566061505
1,0.500293243300819
0,0.49995691368129774
1,0.5001464280731385
1,0.49995412262064864
0,0.5000997124792728
1,0.500153496860336
0,0.5000042550968289
1,0.500148229333582
0,0.4999714844229888
0,0.49980854948170544
1,0.5003102424422099
0,0.49992384657165534
0,0.49981595073937507
0,0.5001430751517006
0,0.4999823177497385
1,0.5003821125058704
1,0.500254099746572
1,0.4999395844992792
1,0.5002058687146579
1,0.5001590443839022
1,0.5000131712550787
1,0.5001506275405481
0,0.4998799587498943
0,0.5000675280535077
0,0.5000701010878904
1,0.5002774858484825
0,0.49999663793813226
1,0.5000203790194186
0,0.5000274035529698
0,0.49993413191856334
0,0.49978753703546996
1,0.5003775704118996
1,0.5001576780689251
0,0.4999168617321552
1,0.5001867780536253
0,0.5000658247175278
1,0.5002435265090226
1,0.5001775688046907
0,0.49985193939068173
0,0.49999435952723664
0,0.49987869024122644
1,0.5000316891804812
0,0.4997661810574468
1,0.5001717809403208
0,0.5000336048826265
1,0.5002613083181657
0,0.49991328805434593
0,0.5000532382881713
1,0.500229476260513
0,0.5000885701418443
1,0.49999084302089813
0,0.500010080833181
1,0.500334764854387
1,0.5001097724012179
1,0.5000084577272881
0,0.49993772676096193
