ytest,pred_0,pred_1
0,0.9914641820131697,0.008535817986830339
1,0.013004453328216647,0.9869955466717834
0,0.8952721737123785,0.10472782628762142
1,0.02608838580664019,0.9739116141933598
1,0.05184940190138099,0.948150598098619
1,0.22173875463617132,0.7782612453638287
0,0.11063447663437231,0.8893655233656277
1,0.18958899103400007,0.8104110089659999
0,0.9914999932316213,0.00850000676837873
1,0.12231903575021041,0.8776809642497896
1,0.03585619377123761,0.9641438062287624
1,0.28082010011319014,0.7191798998868099
1,0.06862617917810632,0.9313738208218937
1,0.003360090334409427,0.9966399096655906
0,0.5221000072054289,0.47789999279457107
0,0.4667978611301501,0.5332021388698499
1,0.0015792934246245949,0.9984207065753754
1,0.2780809208988463,0.7219190791011537
0,0.880361555913964,0.11963844408603597
1,0.9405143477826698,0.059485652217330195
0,0.9997961745371811,0.00020382546281893436
0,0.8800424844468304,0.1199575155531696
1,0.01103562864698604,0.988964371353014
1,0.7048616976083888,0.29513830239161115
0,0.8499787598774327,0.1500212401225674
0,0.6567801133802058,0.34321988661979425
0,0.8736644538331118,0.1263355461668882
1,0.19519810460636022,0.8048018953936398
0,0.6936466127829113,0.30635338721708877
1,0.027160609668281044,0.972839390331719
0,0.9981599751767471,0.0018400248232528478
0,0.970451400843472,0.029548599156527914
1,0.1266930183180338,0.8733069816819662
1,0.2882918897893981,0.7117081102106019
0,0.8056314599088896,0.1943685400911104
0,0.8472059928713591,0.15279400712864083
0,0.8863662353758275,0.11363376462417249
1,0.040107480727463396,0.9598925192725366
1,0.05345326570105369,0.9465467342989463
1,0.004113871688250503,0.9958861283117495
0,0.2808045202271908,0.7191954797728092
0,0.9587514358235979,0.04124856417640212
1,0.042179650410006486,0.9578203495899935
1,0.11833623603712873,0.8816637639628713
1,0.3821805427099054,0.6178194572900946
0,0.8626046441465176,0.13739535585348245
1,0.04330543632836814,0.9566945636716319
1,0.12265576159714409,0.8773442384028559
0,0.7386300043930839,0.2613699956069161
0,0.5002834093165931,0.49971659068340696
0,0.9880260584131592,0.01197394158684089
1,0.19195911613064687,0.8080408838693531
0,0.8611971443319952,0.13880285566800477
0,0.04751438810411479,0.9524856118958852
0,0.7852849851221866,0.21471501487781341
0,0.9414161287096211,0.058583871290378876
1,0.11834807422053217,0.8816519257794678
1,0.8268957806528654,0.1731042193471346
1,0.06254545010874113,0.9374545498912589
0,0.5907437842918344,0.4092562157081656
1,0.006487596664974338,0.9935124033350257
1,0.04207067237163076,0.9579293276283692
0,0.9999911052138879,8.894786112134914e-06
0,0.9066307259511934,0.09336927404880657
0,0.48116517355960764,0.5188348264403924
1,0.02012842222390221,0.9798715777760978
0,0.45664664753954654,0.5433533524604535
1,0.2272286090368204,0.7727713909631796
1,0.42655700452418743,0.5734429954758126
1,0.34941380637483554,0.6505861936251645
0,0.9913261926904895,0.008673807309510487
0,0.878302210952178,0.12169778904782205
1,0.0008976082310084843,0.9991023917689915
0,0.8615410541970224,0.13845894580297755
0,0.9931106938892943,0.006889306110705742
0,0.6794893673930449,0.32051063260695506
1,0.6558271319193765,0.34417286808062353
1,0.2838156376204559,0.7161843623795441
0,0.798545856332209,0.20145414366779105
1,0.3295510774126499,0.6704489225873501
1,0.3347762948317985,0.6652237051682015
1,0.26924596730909034,0.7307540326909097
1,0.18825816896297987,0.8117418310370201
0,0.9603392236197579,0.03966077638024213
1,0.3576230538225633,0.6423769461774367
0,0.9195370533263963,0.08046294667360367
0,0.9865657844802433,0.013434215519756616
1,0.12395120201740417,0.8760487979825958
1,0.8453383151491438,0.15466168485085613
0,0.6275239444577687,0.37247605554223134
0,0.9339048693356065,0.06609513066439356
0,0.8481768775734619,0.151823122426538
0,0.9030562063849188,0.09694379361508122
1,0.412027483034916,0.587972516965084
0,0.9600496452218137,0.03995035477818626
1,0.4233611355752702,0.5766388644247298
1,0.10729937680017076,0.8927006231998292
1,0.390672874160652,0.609327125839348
0,0.8920995108843961,0.10790048911560396
1,0.5962313676883416,0.4037686323116584
1,0.0600431517737009,0.9399568482262991
0,0.8784510508291931,0.12154894917080698
0,0.9975108681801411,0.002489131819858831
0,0.9481656616439385,0.05183433835606159
0,0.9994987167832023,0.0005012832167976379
1,0.19919245455691847,0.8008075454430815
0,0.369109615038544,0.630890384961456
1,0.1251040104662723,0.8748959895337277
0,0.4506436740748101,0.5493563259251899
1,0.012303761883936892,0.9876962381160631
0,0.9787214786759814,0.021278521324018612
1,0.14612613660657126,0.8538738633934287
1,0.009787147881752722,0.9902128521182473
0,0.5625419133717072,0.4374580866282928
0,0.8705534398949264,0.12944656010507358
1,0.5790613292329558,0.4209386707670442
1,0.29707657956169997,0.7029234204383
0,0.24156048772825078,0.7584395122717492
1,0.24449099257196638,0.7555090074280336
0,0.3865367163861566,0.6134632836138434
0,0.9803843331364999,0.01961566686350015
1,0.054488770261523434,0.9455112297384766
0,0.6559234528888309,0.34407654711116914
0,0.8963214473971837,0.1036785526028163
1,0.050532502449346484,0.9494674975506535
0,0.9999065651726411,9.34348273588978e-05
1,0.20035832596452763,0.7996416740354724
0,0.41946945786151435,0.5805305421384857
0,0.9588181018621055,0.04118189813789457
1,0.682060231352283,0.31793976864771695
1,0.060717883394583616,0.9392821166054164
0,0.6909224321631646,0.3090775678368353
0,0.9876681402872343,0.012331859712765732
1,0.21592512528053986,0.7840748747194601
1,0.00709924928694361,0.9929007507130564
1,0.19071912562540494,0.8092808743745951
1,0.3449408850288346,0.6550591149711654
1,0.1326705773373058,0.8673294226626942
0,0.9768875147303911,0.023112485269608844
0,0.9993396461466705,0.000660353853329466
1,0.11443400140083315,0.8855659985991668
1,0.31208793217948083,0.6879120678205192
1,0.1112783363891493,0.8887216636108507
0,0.902084862263057,0.09791513773694306
0,0.6169241626974875,0.3830758373025125
1,0.07840101933139809,0.9215989806686019
0,0.7025112777537955,0.2974887222462045
1,0.26711862272899145,0.7328813772710085
1,0.011529398731472074,0.9884706012685279
1,0.06239293687596392,0.9376070631240361
0,0.6980754860807936,0.30192451391920644
0,0.6065092487787009,0.39349075122129906
0,0.42538894056623466,0.5746110594337653
0,0.9590831118421741,0.0409168881578259
0,0.6040924472911682,0.3959075527088319
0,0.5235799913063723,0.4764200086936276
1,0.11478827391483049,0.8852117260851695
1,0.025262936609799946,0.9747370633902
1,0.1894970798693001,0.8105029201306999
1,0.06784246023428697,0.932157539765713
0,0.969773018788813,0.0302269812111871
0,0.9890062657666348,0.010993734233365223
0,0.9868428534427149,0.013157146557285062
1,0.24978962229657353,0.7502103777034265
0,0.28687930281756324,0.7131206971824368
1,0.17466928723611141,0.8253307127638886
1,0.1957307112653498,0.8042692887346502
0,0.9528188571042896,0.04718114289571044
0,0.9381236279935747,0.06187637200642531
1,0.12813393022782826,0.8718660697721717
1,0.3106078919380597,0.6893921080619403
0,0.9393837803487729,0.06061621965122707
0,0.9811978358896963,0.01880216411030369
1,0.35931342517961584,0.6406865748203842
0,0.22951214580235435,0.7704878541976456
0,0.5914413449501177,0.40855865504988237
1,0.021485162290196813,0.9785148377098032
0,0.4448488521981192,0.5551511478018808
0,0.3067537343965895,0.6932462656034105
0,0.4194071378784273,0.5805928621215727
1,0.011369237436145263,0.9886307625638547
1,0.4653499672098469,0.5346500327901531
0,0.979522704028131,0.02047729597186903
0,0.9457654644172259,0.0542345355827741
