label,pred_prob
1,0.6000555292971781
0,0.014301807504431257
0,0.011541308915684551
0,0.08493867404889113
0,0.42453946868698933
1,0.9849872595281985
0,0.20243204750693508
0,0.012208736397169517
1,0.2873143301035087
1,0.7813207178624868
1,0.990860138342349
1,0.7157729023350129
1,0.9594445039906073
0,0.201752262050841
1,0.31633879675998283
0,0.495559961009961
1,0.6560761002895568
1,0.995937061336392
0,0.08776343900449708
0,0.005271237192396049
1,0.798643810807564
1,0.9634996936600977
1,0.9799569012721231
0,0.32795572763300623
0,0.6263151983307205
1,0.6322952204101492
1,0.9940343830841563
0,0.06129807225786449
1,0.9956101676758699
1,0.9365720194830023
1,0.9564437755448914
0,0.031432728409150325
1,0.7011450796035832
0,0.06131187241389364
0,0.674232385459386
0,0.4431143526124738
0,0.21706465245512366
1,0.8351541360322464
1,0.8064870418413889
0,0.037442048295644396
0,0.2956284289030782
0,0.2179201035475345
0,0.07378403175776205
1,0.9820152473826059
0,0.02765488901132835
0,0.08267723192688478
1,0.9974505691356977
1,0.9795216919298322
0,0.002801025020318936
0,0.06488121404432247
0,0.03360973597834478
1,0.8037858615950902
0,0.37891490080908974
0,0.013248686647663344
0,0.15094482749761323
1,0.3811783578459375
0,0.4085168067554118
1,0.9879865689038982
1,0.8462695660954688
1,0.9010508605408537
0,0.07077463402793589
1,0.9956069826688152
0,0.28301707690086264
0,0.2673887525668625
1,0.4239974097121159
0,0.23251237942731556
0,0.016219201812671658
1,0.9214863285471582
0,0.023331183504538548
1,0.7432996854601764
1,0.9587252284834028
0,0.28561932119627675
1,0.8821510140625562
0,0.8594025832991101
1,0.08511582365592642
1,0.5918464024135399
1,0.9720182648599212
1,0.9731291018676377
0,0.011185924780313715
1,0.8882932435712558
0,0.010092581564585217
0,0.8427102239143416
0,0.09784926166802727
0,0.048908483569851294
0,0.2322258446336032
1,0.9862496519261108
1,0.9921019578453514
1,0.9503163879116618
0,0.010544967266815527
1,0.8731233004413724
0,0.028099596392966893
1,0.916305238423833
0,0.03636153916373825
1,0.9871904264463398
1,0.9844513242353425
1,0.8198610754786722
0,0.0691661873420691
0,0.12653768432347676
0,0.01827483787098261
0,0.006412474992870303
0,0.04198449867050826
0,0.04165637299559782
1,0.2869031986035416
1,0.6641044991376618
1,0.9162236562790096
0,0.955841709149384
0,0.1535744507138928
1,0.9093908182944187
1,0.9343631273567902
0,0.013570031518804981
1,0.6486627566911422
0,0.16481988675381112
0,0.4668725457169498
0,0.024938864539266553
1,0.23243700060958364
1,0.3256320344079578
0,0.014400425357166536
1,0.7914250419868365
1,0.16210709663447018
1,0.8186999106702433
0,0.019444364880841034
1,0.6820975613694534
1,0.9009892843530978
0,0.3646884851935803
1,0.9578056109580164
0,0.020160579180908925
1,0.6770806557389195
1,0.9874530490198254
1,0.9732618733071156
0,0.008032733661156009
0,0.23584448877197822
1,0.9965076980342454
1,0.9915452049972759
1,0.9898530980953242
1,0.6308730989715866
0,0.12297078367559569
1,0.9456524059964182
1,0.233633934095173
1,0.8526102176560905
1,0.7121419077172765
0,0.5434359167500104
1,0.8708847194283674
0,0.12255050803012962
0,0.24874984876252026
1,0.9773274010774712
0,0.018134641917550865
0,0.7714633418721493
1,0.9363904761994906
0,0.012208560773995701
0,0.0219955279038565
1,0.5642588247242092
0,0.15440565869377182
1,0.9499407692838143
0,0.0405635159981168
0,0.3082815612228657
1,0.6407724039713266
0,0.1407358481426338
1,0.8422381358162304
0,0.28438960859088325
1,0.730503530873467
0,0.2165679943407857
1,0.544521736610857
0,0.12502194897307653
0,0.22256672390658575
0,0.011343307800526328
0,0.43885633850164313
0,0.29902428122931773
0,0.12378660775461804
1,0.9978971850768953
1,0.9966472153606344
0,0.12861784090635986
0,0.006537220446141387
0,0.7795028144554482
0,0.36144763601440216
0,0.8239792278294231
0,0.034989705294093496
1,0.04414315000369836
1,0.6627818301305433
0,0.019346821458200554
0,0.3427896392456788
0,0.03985158810684219
0,0.02727730314136373
1,0.7577141866843896
0,0.009035900267405562
0,0.9045853140622127
0,0.07132216770757006
1,0.9440432759642907
0,0.024163849130789793
1,0.9865762785486883
1,0.9715385374199924
1,0.9448486663174887
1,0.9840794202539792
1,0.2720814390894075
0,0.18317187328454562
0,0.15742921491655382
0,0.6774850961380524
1,0.1575169208509081
0,0.03987605027745849
0,0.8945577335140802
1,0.7956226262491836
